# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=42
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_treatment_1.csv
# diagnostic_file=stan_diagnostics/LV_treatment_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
268.517,0.961849,0.00387073,6,127,0,-265.764,0.320587,0.479306,-2.07933,7.55516,8.185,-4.0747,-3.10938,8.91972,9.57247,1.05269,-0.223834,-1.46577,-0.0686721,0.590157,-0.33477,-1.06874,0.377012,0.669959,57.1131,0.375891,-20.9157,19.9432,37.0971,2.59965,57.3029,-30.3816,-166.603
267.557,0.797071,0.00625557,6,63,0,-263.792,0.130714,0.45282,-1.99399,7.51644,8.15577,-4.30336,-3.12032,8.75504,9.58843,0.123483,1.16659,1.13799,1.58373,-0.473945,-0.126437,0.182284,0.367573,1.39314,-51.0181,-3.15618,8.22152,-25.5587,-15.3212,-1.99604,-14.1976,14.6958,259.303
268.716,0.955158,0.00657106,4,31,0,-263.507,0.175548,0.435985,-1.93206,7.53909,8.15898,-4.28003,-3.12902,8.77503,9.58102,1.29091,-0.283907,0.802205,1.03988,0.193794,0.751102,-2.08219,0.428541,-1.35065,13.7122,-1.61185,28.6456,-20.0483,-9.28133,-16.7327,-62.108,-11.2148,60.697
265.098,0.896002,0.0103179,5,31,0,-261.852,0.0828003,0.59042,-2.10458,7.53489,8.16257,-4.13752,-3.12694,8.47726,9.58519,-1.38062,0.107379,-0.433428,-0.0579956,0.916401,-0.782114,-0.21149,1.6993,0.00869987,-3.80268,23.0682,-32.0666,-8.91121,-38.3543,3.34205,-87.6328,-12.1439,66.3891
264.683,0.303132,0.0138519,2,5,0,-259.977,0.0918175,0.59899,-2.13056,7.53487,8.18387,-4.15925,-3.11957,8.49132,9.58064,-0.115412,-0.47512,1.57934,-0.268801,-1.46565,1.47041,-0.762445,-1.30955,0.0158449,77.3262,20.731,-42.7934,-39.0546,10.457,-14.1279,-33.2522,-42.6077,-45.1748
265.768,0.98891,0.00417732,5,31,0,-261.045,0.132541,0.651625,-2.01227,7.55003,8.20253,-4.13505,-3.10716,8.5575,9.58147,1.00436,-0.953303,2.46418,0.0682551,0.389262,-0.0651458,0.319665,1.05443,-0.286478,94.9315,17.6013,-0.528219,-17.6348,44.7164,-11.4664,53.1277,-51.1073,-15.144
267.225,0.990596,0.00708284,5,31,0,-263.131,0.147128,0.589522,-2.11381,7.53086,8.17365,-4.11268,-3.1088,8.6466,9.58533,-1.67899,1.94403,-0.342077,-0.215911,-0.666912,0.353282,0.426284,-0.817256,0.089794,-54.185,19.2351,-33.6128,10.7727,-6.84325,17.625,27.7761,14.0443,84.1087
267.225,0.00236342,0.0119644,1,3,0,-264.414,0.147128,0.589522,-2.11381,7.53086,8.17365,-4.11268,-3.1088,8.6466,9.58533,0.756996,-0.432379,0.492284,0.223918,-0.895689,-0.124188,-0.916499,0.207894,-1.69424,-54.185,19.2351,-33.6128,10.7727,-6.84325,17.625,27.7761,14.0443,84.1087
267.651,0.985224,0.0017693,6,63,0,-261.119,0.152009,0.553392,-2.05685,7.53286,8.14015,-4.11787,-3.11991,8.61878,9.58016,1.78171,1.18752,-1.83942,-1.09768,-1.59491,-0.078736,0.628104,-0.604732,0.761054,64.5797,18.1129,-15.4329,-30.908,-66.071,-6.73732,-44.025,-39.0108,-39.9354
266.601,0.978782,0.00295543,7,127,0,-263.084,0.292884,0.357533,-1.94052,7.52608,8.17081,-4.22056,-3.14421,8.95315,9.57431,0.795776,-0.608566,-0.633704,-0.636307,-1.4049,-0.745566,-0.668008,1.46437,0.32202,72.4999,-11.0085,24.8347,-70.2092,18.2242,-29.7291,-126.961,-35.7917,-72.4821
268.324,0.99671,0.0048241,6,63,0,-261.819,0.233562,0.536223,-2.06133,7.53417,8.19363,-4.19093,-3.09133,8.86155,9.58189,1.97748,-0.977687,-1.73568,-0.561993,-0.0704722,2.11599,0.277064,-0.458325,0.216239,-3.85559,1.43942,-12.3348,-8.08711,53.6239,-3.01524,167.433,1.71287,66.1314
268.174,0.83709,0.00816349,3,7,0,-263.665,0.235246,0.544694,-2.06295,7.55503,8.22219,-4.19059,-3.11686,8.84323,9.57675,0.251452,0.44331,0.0353589,1.03041,1.08923,-0.0018352,-2.02491,-1.19481,0.989522,-14.2882,8.36367,-17.5942,37.0095,89.5137,2.08677,10.226,6.75884,-95.4396
266.951,0.724379,0.00936452,4,31,0,-263.117,0.245654,0.440086,-2.11436,7.51509,8.1247,-4.08328,-3.10566,8.83138,9.5731,-0.286627,-1.66791,0.68177,-1.29835,0.629579,1.24172,0.0724872,0.127376,0.832736,25.7504,4.9716,-36.2032,-44.3516,-83.4934,2.72516,50.4875,-16.2161,-159.517
266.034,0.84622,0.00820415,4,31,0,-261.701,0.207029,0.328773,-1.9789,7.56958,8.21213,-4.17309,-3.12409,8.8122,9.5817,-1.03796,0.638299,-1.95365,0.136384,0.273354,1.52661,-0.266388,0.792281,0.491528,-75.8803,-21.1531,5.90909,81.4008,86.3338,19.4617,-0.141919,35.0459,152.227
267.719,0.998123,0.00959336,5,31,0,-263.59,0.189447,0.616068,-2.03702,7.55231,8.18654,-4.28886,-3.10134,8.76523,9.57926,0.34149,-0.752045,-0.819757,0.339198,2.36268,-0.4746,0.677063,-0.307765,-0.6551,56.812,16.0993,-7.06982,-17.6454,23.0939,-27.1709,85.9907,-32.0423,-62.682
264.916,0.0983035,0.0159726,2,5,1,-257.851,0.210632,0.614114,-2.06776,7.57586,8.17511,-4.30956,-3.08752,8.80173,9.57828,1.03121,-0.269606,-1.76556,1.15402,-0.751381,-1.12329,-0.462722,2.4534,0.697681,36.9496,18.4438,-19.9083,40.1253,4.46407,-21.6317,166.287,-21.1152,-95.0176
265.372,0.964229,0.00325654,6,63,0,-259.185,0.203659,0.595059,-1.93894,7.5236,8.17319,-4.33923,-3.10301,8.8308,9.57761,0.836137,0.9231,-1.97549,0.861982,-0.858133,-0.166566,-1.60398,-0.904123,1.42215,86.9683,10.0574,23.0853,-93.8713,8.2729,-45.2466,82.1357,-44.5839,-78.5306
265.548,0.991014,0.00501311,5,31,0,-261.646,0.231966,0.539147,-2.03791,7.59532,8.17322,-4.28751,-3.1223,8.88958,9.58041,1.54953,-1.30903,-1.09003,1.25675,-0.256086,0.885588,-0.163634,-0.127868,0.168478,-121.884,22.1152,-16.0672,176.336,-19.549,29.2376,-57.6227,68.3867,-48.277
266.794,0.995727,0.00815957,5,63,0,-262.846,0.142227,0.466505,-1.9611,7.56367,8.16444,-4.26709,-3.14153,8.7175,9.58104,0.438532,0.91148,0.81173,-1.94031,-0.162772,-1.07113,-0.757806,0.799901,-0.249189,-92.4823,9.00502,16.7387,74.0577,-19.7984,14.4602,-148.103,33.8591,19.3511
266.794,1.99386e-05,0.013339,1,3,0,-261.997,0.142227,0.466505,-1.9611,7.56367,8.16444,-4.26709,-3.14153,8.7175,9.58104,1.5912,-0.214359,0.952266,0.278879,0.0489036,0.0856777,1.57585,0.500636,-1.81317,-92.4823,9.00502,16.7387,74.0577,-19.7984,14.4602,-148.103,33.8591,19.3511
265.883,0.99066,0.00226573,7,127,0,-262.498,0.100425,0.425615,-1.96767,7.54821,8.16213,-4.30008,-3.14135,8.65372,9.57258,0.806588,-0.532223,-0.84015,-1.13932,1.37834,-0.228018,-0.801985,-0.899946,-0.652395,-90.7486,6.97258,15.8516,42.4659,-19.3226,9.56929,-144.323,26.2357,-185.197
