# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=123456
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC1_treatment_3.csv
# diagnostic_file=stan_diagnostics/LCC1_treatment_3.csv
# append_samples=0
#lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1

273.386,0.975276,0.00805768,4,15,0,-265.879,-3.88941,8.49774,-2.33545,7.12083,-2.58364,0.304584,-2.48162,1.44466,-13.9313,-80.9285,16.9852,32.58
275.828,0.999075,0.0122282,3,7,0,-272.938,-3.94404,8.5812,-2.33871,7.10176,-2.03316,0.81433,-0.63827,0.759132,15.9588,7.37093,17.5917,-81.3191
275.828,0.0217554,0.0194311,3,11,0,-274.105,-3.94404,8.5812,-2.33871,7.10176,1.58958,-0.230764,0.767153,0.527709,15.9588,7.37093,17.5917,-81.3191
278.616,0.99982,0.00384529,6,63,0,-274.88,-4.107,8.74652,-2.42497,7.12983,-1.75662,1.60896,1.28423,0.384197,8.4824,15.7547,-10.7396,-97.3316
278.72,0.997193,0.00612543,4,31,0,-277.572,-4.10611,8.7533,-2.40407,7.1323,-0.213573,0.0948094,1.19796,0.897794,50.0799,42.2695,-4.14665,-44.5225
276.715,0.785206,0.00965298,3,7,0,-276.049,-4.11802,8.67965,-2.41008,7.16265,-0.519587,0.300012,-0.12964,-0.977474,-118.53,-112.063,-7.52038,-13.9623
278.178,0.988117,0.00971437,3,7,0,-275.031,-4.03561,8.66534,-2.35857,7.12211,0.0441671,-1.33453,0.608126,2.03506,23.4067,18.2369,12.5422,-53.8286
278.341,0.951257,0.0149075,3,7,0,-277.69,-4.06903,8.6605,-2.40131,7.15677,0.665727,-0.214939,0.860065,-0.269092,12.3258,-14.6174,-0.770316,101.303
277.074,0.213607,0.0210976,1,3,0,-275.064,-4.06445,8.63401,-2.36589,7.14758,-1.21773,0.17853,-1.58306,0.030228,-94.8359,-102.129,9.09464,-38.4472
278.548,0.996562,0.00651432,5,63,0,-274.736,-4.18367,8.79065,-2.45228,7.16959,-2.62091,0.784213,-0.373338,-0.0183187,-40.295,-33.0135,-21.2495,45.1261
276.651,0.789685,0.0101194,3,7,0,-275.508,-4.11926,8.791,-2.44739,7.13067,-0.0817482,-1.32247,0.604072,-0.405577,118.356,92.0101,-23.3356,-21.7199
278.023,0.900647,0.0102643,5,51,0,-272.955,-4.30534,9.0206,-2.35434,7.18835,0.729939,1.78533,-1.90191,-1.67311,65.563,32.6745,3.15144,140.477
276.356,0.758575,0.0130338,2,7,0,-276.003,-4.30116,9.03472,-2.35257,7.14936,0.310646,0.435885,0.0399315,-0.645909,-106.752,-28.0588,0.441564,-229.122
277.818,0.837663,0.0123948,3,15,0,-275.794,-4.30498,8.97917,-2.30592,7.18668,-1.78468,0.147055,-0.365727,-0.84044,-45.5005,-20.9634,18.923,25.6557
