# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=12345
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_vehicle_3.csv
# diagnostic_file=stan_diagnostics/LV_vehicle_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
459.548,0.988742,0.00364677,4,15,0,-455.769,-0.0112239,-0.0505777,-2.53512,7.74012,8.25504,-3.50254,-3.26698,9.44375,9.59131,0.00686964,0.466142,-0.236717,0.58078,-1.80637,-0.0544426,-1.9042,-0.0688493,0.224107,-55.329,21.4223,-10.8213,-28.3095,59.3961,3.80965,-30.1426,4.66435,32.3594
458.975,0.928825,0.00580543,5,31,0,-457.007,-0.0107322,-0.0379072,-2.54326,7.72956,8.24694,-3.50637,-3.25465,9.45535,9.59362,0.16535,0.525595,-0.172641,0.79256,-1.06931,0.295212,0.644002,0.684579,-0.927693,-79.172,43.1921,-16.1079,-80.084,27.4121,1.39785,-30.4771,30.7073,9.42326
457.208,0.968461,0.00805425,4,15,0,-454.619,0.0272675,-0.133681,-2.60759,7.73495,8.23704,-3.4684,-3.25536,9.47331,9.54332,0.332552,-0.868193,0.405256,-1.30609,0.239629,-0.360308,0.851271,1.22887,0.149969,-46.3155,-50.4406,-46.2483,-31.1348,-5.41197,49.7979,-1.33015,23.48,-45.9453
457.208,0.0054649,0.012137,3,7,0,-452.258,0.0272675,-0.133681,-2.60759,7.73495,8.23704,-3.4684,-3.25536,9.47331,9.54332,-1.7444,0.00863198,-0.604236,-0.176965,0.30438,-1.47953,0.48874,1.21733,-1.56782,-46.3155,-50.4406,-46.2483,-31.1348,-5.41197,49.7979,-1.33015,23.48,-45.9453
457.264,0.999255,0.00224174,6,63,0,-451.098,0.0356849,-0.0742713,-2.39271,7.74649,8.23759,-3.51572,-3.2764,9.52224,9.58492,0.304474,1.9165,2.04508,-0.445073,0.222157,1.24283,1.40468,-0.731917,0.287009,-34.2283,3.21643,44.4488,-15.4079,-15.592,-20.1172,-40.6433,55.6804,32.8936
459.879,0.988081,0.00361864,5,31,0,-454.148,0.0549032,-0.0913524,-2.50089,7.75025,8.21975,-3.45203,-3.23848,9.49492,9.56549,-0.262807,-0.281097,-2.29023,-1.09774,-0.872715,-0.467772,1.72256,-0.728113,-0.622205,-41.7819,-14.049,3.68768,58.4629,-66.2488,92.5735,0.588715,36.3373,-15.8704
458.266,0.958071,0.00567046,4,15,0,-456.306,0.0620334,-0.0502915,-2.54125,7.7486,8.2659,-3.48253,-3.26364,9.53098,9.57999,-0.938453,-0.0719427,-0.293756,1.18846,-0.395949,-1.00757,0.417554,0.309966,0.304109,-50.9389,76.2988,-18.0035,26.0255,102.928,39.5354,-38.1734,80.1762,-90.3471
459.976,0.679255,0.00828992,4,15,0,-455.375,0.0182628,-0.052646,-2.53393,7.74949,8.22337,-3.4933,-3.25116,9.48316,9.59699,-0.293202,-0.143815,0.474339,-0.330438,-1.29824,-0.848619,0.695684,-2.34198,-0.622333,-117.456,-19.8117,-12.3753,43.5438,-65.4822,62.4374,-15.0719,78.3395,115.114
460.078,0.96086,0.00667,4,15,0,-453.063,0.0440379,-0.113579,-2.48733,7.76262,8.23081,-3.47867,-3.25056,9.48327,9.55661,-0.0373702,0.192857,0.489609,-0.894726,-1.05771,-2.71666,-1.17014,0.798156,1.56407,67.2841,-36.5518,8.35778,60.4927,-20.2874,-4.08677,4.69184,-50.0158,-16.4648
456.512,0.320519,0.00975542,4,15,0,-454.048,0.00645559,-0.0682172,-2.46817,7.73573,8.25602,-3.50046,-3.29428,9.49569,9.58803,0.174814,1.48043,0.149742,-0.884903,-0.0784746,-0.809221,-0.00297088,-0.39609,-1.04085,-241.681,20.8233,10.8627,11.8221,35.2027,117.962,-64.7484,170.738,19.6175
