# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=42
# chain_id=2
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC1_theta_logistic_4-14-20_2.csv
# diagnostic_file=stan_diagnostics/LCC1_theta_logistic_4-14-20_diagnostics_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
282.19,0.881724,0.00179313,2,7,0,-276.125,-3.12896,9.58679,-3.57131,6.94045,1.75074,1.5846,0.313562,2.54079,-33.8801,109.598,21.0805,-99.2528
281.512,0.962665,0.00219993,2,7,0,-280.642,-3.12905,9.59028,-3.57157,6.93998,0.069294,-1.30469,0.136846,0.112677,24.5093,256.295,19.8254,-90.233
282.041,0.986172,0.00316082,2,3,0,-281.126,-3.12763,9.58773,-3.57253,6.94224,-0.225501,1.1252,0.336256,-0.631821,141.827,201.062,20.5698,51.0708
281.459,0.928127,0.0047392,4,19,0,-279.607,-3.14336,9.59374,-3.63489,6.95364,-0.296832,0.738624,-1.5316,-0.851854,-157.528,224.848,8.53085,-15.414
281.291,0.346269,0.00631655,3,7,0,-278.159,-3.11973,9.57286,-3.6256,6.93661,1.65389,0.0380292,0.668718,-1.75479,11.8197,-365.334,9.3354,-30.7982
281.698,0.996022,0.00269927,4,15,0,-280.125,-3.11649,9.57628,-3.61878,6.93497,-0.431102,1.41295,0.801865,-0.566678,232.304,-127.15,11.4978,73.3896
281.935,0.999512,0.0041029,3,7,0,-281.187,-3.11736,9.58256,-3.61929,6.93195,0.476642,-0.939506,0.112444,-0.610565,199.143,123.315,12.1785,-53.6533
281.935,0.00507612,0.00625339,1,3,0,-281.022,-3.11736,9.58256,-3.61929,6.93195,-1.2917,0.153933,-0.26023,-0.255671,199.143,123.315,12.1785,-53.6533
280.994,0.9109,0.00140225,4,15,0,-278.009,-3.11995,9.58278,-3.61764,6.92768,1.86216,1.54607,-0.126973,0.312489,-161.504,19.4719,10.6838,-392.546
281.1,0.99702,0.00180507,3,7,0,-280.178,-3.11488,9.57461,-3.61737,6.93419,-1.21261,-0.579063,-0.0316134,0.197509,255.596,-175.397,10.5011,89.4637
281.1,0.522967,0.0027314,2,3,0,-275.295,-3.11488,9.57461,-3.61737,6.93419,-1.70524,-2.21284,0.108152,-1.948,255.596,-175.397,10.5011,89.4637
281.882,0.981856,0.00167486,5,31,0,-280.042,-3.12257,9.58798,-3.62159,6.93889,-1.30393,1.18863,-0.368114,0.6557,331.801,328.563,11.7449,122.893
282.585,0.992594,0.00245381,4,31,0,-280.408,-3.12678,9.5831,-3.64474,6.94757,0.88337,-1.16653,1.43002,0.4109,354.406,78.8614,8.74975,339.466
281.051,0.918222,0.00365556,4,15,0,-280.749,-3.13632,9.59045,-3.64685,6.95661,0.308014,-0.654201,-0.183263,0.215947,362.971,295.336,5.42616,455.581
280.614,0.987023,0.00472084,3,15,0,-280.276,-3.12263,9.57579,-3.63478,6.93099,-0.26973,0.0372231,-0.40406,0.662216,-373.13,-366.071,6.60069,-437.98
280.614,0.00808852,0.00691476,1,3,0,-279.594,-3.12263,9.57579,-3.63478,6.93099,0.0117537,-1.28087,0.567683,0.277544,-373.13,-366.071,6.60069,-437.98
281.478,1,0.0016397,3,7,0,-280.43,-3.12216,9.57631,-3.63399,6.93241,0.501781,0.566234,0.476009,1.13885,-258.901,-311.103,8.45694,-332.744
280.088,0.915852,0.00246244,5,63,0,-278.441,-3.11408,9.58229,-3.72436,6.93614,0.790799,-0.769369,1.41913,0.24763,739.007,294.366,-9.97595,387.944
281.972,1,0.00315604,2,3,0,-279.743,-3.12159,9.5758,-3.72679,6.93381,1.91024,0.65153,0.358915,0.504818,-201.439,-371.551,-6.81973,-282.581
281.403,0.697529,0.00470933,4,23,0,-278.095,-3.1317,9.57632,-3.69921,6.95201,-0.271089,-0.697198,1.50323,1.94884,60.9129,-393.34,-3.47173,293.506
283.924,0.946556,0.00403143,2,3,0,-280.845,-3.13336,9.58455,-3.69976,6.94703,0.24707,-2.12558,0.138978,1.24873,-81.9716,-41.8286,1.88555,6.41353
283.855,0.254534,0.695517,1,3,1,-283.449,-3.12993,9.58121,-3.70784,6.94441,47.3566,32.0015,-6.09238,-13.5665,-72.4237,-162.73,0.257492,-9.22479
283.855,0,2.57984,0,1,1,-281.73,-3.12993,9.58121,-3.70784,6.94441,-39.8218,48.6475,-37.5645,-55.9333,-72.4237,-162.73,0.257492,-9.22479
280.649,0.604735,0.291764,4,23,0,-277.432,-3.13508,9.58206,-3.86464,6.94678,71.318,-7.637,-21.6839,-139.56,-418.186,-340.562,-33.5533,-184.256
281.535,0.997689,0.114625,4,31,0,-279.185,-3.1333,9.58522,-3.82784,6.95205,-16.5492,62.2518,41.3677,-50.281,281.374,76.9055,-25.3432,422.95
283.191,0.996351,0.149901,5,39,0,-279.928,-3.12186,9.58083,-3.67636,6.9403,59.9233,77.5584,45.957,-45.3746,284.825,13.1793,4.48904,168.364
283.201,0.9963,0.2278,4,31,0,-282.424,-3.12279,9.5835,-3.76877,6.93782,-79.4963,6.41262,5.23283,19.4712,200.779,117.45,-11.4847,12.9274
283.73,0.475953,0.378901,2,5,0,-282.771,-3.13394,9.58487,-3.75257,6.9476,-44.4085,2.46132,14.2475,69.4706,-93.7988,-39.874,-7.72744,15.9847
283.399,0.95135,0.131679,3,15,0,-281.674,-3.12916,9.58079,-3.77017,6.94233,104.421,-7.2264,-20.8608,-27.296,-161.968,-218.599,-11.5212,-113.235
283.149,0.907494,0.203918,3,7,0,-282.187,-3.1276,9.58828,-3.75478,6.94152,43.1863,75.5206,-14.1655,-5.53819,182.049,306.307,-9.02957,38.868
280.046,0.68234,0.281492,3,15,0,-276.862,-3.1377,9.58475,-3.85831,6.95547,-20.5954,20.6076,51.9044,-65.8473,85.3907,-81.6111,-33.7247,399.685
280.406,0.99859,0.193171,3,7,0,-278.865,-3.13071,9.58999,-3.8736,6.94354,60.1352,-15.6849,9.04918,-95.9098,132.529,421.995,-35.2397,16.6214
279.337,0.329753,0.36319,2,3,0,-277.351,-3.13629,9.57865,-3.85366,6.95045,-35.3233,-106.49,-27.2444,13.859,-401.657,-581.153,-34.4615,-25.7305
281.865,0.998509,0.083339,5,39,0,-276.682,-3.12523,9.57382,-3.66975,6.94205,-127.467,9.72496,57.7201,35.1494,-69.5247,-439.977,2.70079,7.11854
282.991,0.945082,0.158357,3,7,0,-279.177,-3.12734,9.57768,-3.68533,6.94554,-85.9613,148.826,-12.2764,-77.9556,73.9464,-258.719,2.30394,150.376
280.534,0.648009,0.254167,4,19,0,-280.018,-3.13616,9.57854,-3.75265,6.94498,-27.118,47.7092,12.9893,-20.7202,-654.286,-553.418,-14.3198,-388.405
283.421,1,0.162055,4,23,0,-280.209,-3.12377,9.58178,-3.6952,6.93561,-97.4372,31.4642,-25.721,-112.268,-73.0868,-51.8679,1.78794,-199.475
280.385,0.309251,0.307772,3,15,0,-277.157,-3.11656,9.5775,-3.64228,6.92528,-46.0842,-66.3815,44.2384,-77.0313,-202.654,-185.295,5.00372,-436.502
282.766,0.999073,0.0703591,5,63,0,-278.414,-3.13474,9.58146,-3.72018,6.94479,86.6591,17.7118,35.9664,-140.912,-419.668,-301.519,-4.06957,-256.007
282.248,0.995977,0.133291,3,7,0,-281.747,-3.13112,9.58146,-3.72899,6.95242,-28.0635,-37.5352,10.3337,-39.1125,301.979,-83.5964,-6.80232,443.323
283.151,1,0.247994,2,3,0,-282.12,-3.1333,9.58523,-3.73712,6.94196,-37.3002,-67.3954,7.1587,58.3884,-360.641,-74.1291,-6.06178,-313.689
283.151,3.78969e-08,0.462708,1,1,0,-282.601,-3.1333,9.58523,-3.73712,6.94196,-52.4895,14.7238,-14.2465,-14.994,-360.641,-74.1291,-6.06178,-313.689
283.346,0.999911,0.0444583,6,79,0,-282.299,-3.12951,9.58426,-3.64415,6.93997,66.7493,51.9065,-17.1967,4.19129,-170.045,-25.9943,10.5736,-196.386
283.401,0.996988,0.0833712,4,31,0,-282.68,-3.12524,9.58466,-3.6577,6.94195,-38.8734,9.54166,22.5481,-21.5037,231.814,138.68,8.28736,129.991
283.015,0.981042,0.15347,2,7,0,-282.108,-3.12603,9.57748,-3.65802,6.9408,-12.2903,-93.732,-1.74831,-16.1714,-83.7883,-274.591,7.21096,-60.212
282.495,0.98617,0.267142,3,11,0,-281.349,-3.11734,9.58181,-3.67833,6.93267,-45.8963,-51.2032,20.7835,45.9846,241.583,104.919,2.93824,-25.5368
281.091,0.18982,0.467562,2,5,0,-280.735,-3.11526,9.57904,-3.6642,6.92597,-29.3806,14.7187,-14.9898,-13.7443,-40.4044,-66.9621,2.62631,-331.162
281.991,0.997193,0.0849476,4,31,0,-279.078,-3.12138,9.58761,-3.63427,6.93503,-100.697,-5.7365,23.8859,104.494,223.344,306.541,9.80898,-26.97
283.069,0.98278,0.15344,4,23,0,-278.882,-3.12914,9.58696,-3.75544,6.93851,-55.7188,127.983,-32.9683,102.878,-177.342,126.163,-9.29484,-280.307
283.969,0.996497,0.263637,4,23,0,-281.661,-3.12694,9.58297,-3.73652,6.9411,-33.8538,75.8212,-37.6334,-47.0008,27.3901,-13.052,-4.39793,-26.1669
283.969,0.0405734,0.466237,1,3,1,-282.439,-3.12694,9.58297,-3.73652,6.9411,-73.3632,74.0626,-20.155,-3.26444,27.3901,-13.052,-4.39793,-26.1669
283.472,0.997423,0.059587,6,63,0,-283.104,-3.12343,9.58031,-3.74955,6.93987,-2.88548,23.9476,14.712,30.0155,155.645,-80.1371,-7.74727,65.3662
283.481,0.989287,0.10595,4,15,0,-282.868,-3.12787,9.58734,-3.74755,6.94219,-26.4666,-23.5553,4.44566,64.0229,165.398,244.132,-7.15326,53.2462
283.231,0.998969,0.182568,3,7,0,-283.028,-3.1299,9.58181,-3.76599,6.94792,-0.865547,-41.6157,5.88705,2.08321,160.552,-93.4273,-11.1972,245.412
282.808,0.340321,0.319986,3,11,0,-278.631,-3.12225,9.58569,-3.64666,6.93721,54.0706,11.8567,62.7997,13.4357,224.291,216.318,9.16068,26.6975
281.372,0.981152,0.0969945,4,31,0,-279.75,-3.12917,9.58308,-3.57055,6.95037,18.5553,-2.23328,-32.1218,-72.0531,284.572,41.2302,19.2371,322.057
