# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=12345
# chain_id=1
# iter=100
# warmup=50
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_vehicle.csv
# diagnostic_file=stan_diagnostics/LV_vehicle.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
457.034,0.933756,0.00421355,5,31,0,-452.649,-0.013116,-0.100008,-2.39119,7.74949,8.2321,-3.52304,-3.23056,9.45522,9.56392,-0.401296,0.739736,1.05824,0.355359,0.703239,-0.246272,-0.161275,0.925237,2.3192,-51.047,-50.4001,47.3174,0.168983,9.37295,-16.1792,43.4987,7.07367,31.1281
457.091,0.92013,0.00634928,4,15,0,-452.459,0.0271899,-0.107801,-2.39986,7.74369,8.23337,-3.4844,-3.22001,9.48285,9.56615,1.04246,0.669204,-1.26591,0.769905,-1.05248,1.20481,-1.30954,0.767079,0.818643,-30.8268,-101.103,42.8042,-1.35091,33.4313,27.807,84.859,16.8235,113.016
456.819,0.96452,0.0091755,4,15,0,-452.986,0.0119637,-0.0549245,-2.54425,7.77483,8.26319,-3.51342,-3.26118,9.47393,9.57018,0.111226,1.04722,-2.11269,-0.563312,0.342465,0.898206,-0.850413,-0.27053,0.239237,-57.9203,113.416,-23.5242,137.846,82.6787,17.6432,-56.7471,30.9603,-180.648
454.643,0.0631573,0.0147743,1,3,0,-449.943,0.0106043,-0.0737114,-2.53456,7.79083,8.23077,-3.4969,-3.26635,9.45917,9.59378,-0.96814,0.78751,-0.83082,0.805989,1.95029,-0.337578,0.300935,1.53704,-0.364102,-143.513,-65.5313,-23.7301,255.7,-33.0215,105.688,-6.66958,72.8338,166.923
458.874,0.992698,0.0023732,4,15,0,-449.793,0.0221143,-0.0803962,-2.51571,7.74759,8.22545,-3.51071,-3.25284,9.46481,9.57741,-0.418162,-0.17537,1.40043,-3.11837,-0.0329622,-0.177919,1.00475,1.34483,-1.84962,250.315,-10.1366,-7.33743,-90.3432,-55.2182,-176.084,-17.8553,-180.618,24.1082
460.406,0.983392,0.00411424,4,23,0,-456.601,0.0400396,-0.101115,-2.51678,7.74932,8.24793,-3.50766,-3.24677,9.5065,9.56681,-2.3844,0.536419,-0.0705476,0.758563,-0.647937,0.667922,-0.314595,0.226198,-0.200556,81.8053,-65.6022,-4.34788,-31.3867,66.4325,-77.0788,38.8035,-34.7677,65.2982
460.321,0.904254,0.00690931,4,15,0,-457.201,0.0302425,-0.0557602,-2.49101,7.74803,8.24588,-3.48369,-3.23749,9.46462,9.58651,0.394223,-0.153111,-0.200222,0.774183,-0.683082,-1.78679,-0.13469,0.840574,-1.01857,154.242,-17.632,8.74964,-33.3307,53.9367,-70.9971,29.8222,-120.025,72.4077
458.758,0.860977,0.00945143,3,15,0,-457.359,0.0322349,-0.0844399,-2.5016,7.75374,8.21724,-3.48916,-3.26168,9.46589,9.56714,0.195698,-1.07231,-0.402158,-0.637048,-0.0447238,-0.578117,-0.433047,0.170806,-0.699385,181.696,52.6958,-1.91778,-22.1612,-114.079,-94.6245,-69.047,-140.859,-105.927
457.216,0.957503,0.0115604,2,7,0,-454.482,0.051763,-0.0468775,-2.47977,7.74105,8.2444,-3.44254,-3.22723,9.46483,9.5703,-0.112904,1.23432,0.466447,-1.40323,0.669241,0.249608,0.63015,0.773289,-0.489754,170.429,84.6802,11.9996,-33.4596,32.2142,-7.78098,-1.13871,-137.73,-140.197
457.216,4.03308e-06,0.0178684,2,4,1,-449.321,0.051763,-0.0468775,-2.47977,7.74105,8.2444,-3.44254,-3.22723,9.46483,9.5703,-0.273367,0.85367,2.41558,-0.612983,0.320509,-2.16178,1.15998,-0.360178,1.58862,170.429,84.6802,11.9996,-33.4596,32.2142,-7.78098,-1.13871,-137.73,-140.197
