# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=12345
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC9_vehicle_3.csv
# diagnostic_file=stan_diagnostics/LCC9_vehicle_3.csv
# append_samples=0lp_lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-10.7455,0.632389,0.0482086,3,7,0,33.218,-1.74083,9.15131,-0.751245,5.89188,4.022,-0.390011,2.57191,-4.6906,29.9879,-13.6194,2.81788,-56.5461
-3.80426,0.812257,0.0341481,3,7,0,14.1579,-1.91013,9.24795,-0.741855,5.92394,-3.36263,1.29978,-0.390736,2.74915,26.1761,8.22128,21.4565,-69.2116
-1.47116,0.713937,0.0363361,3,7,0,5.61915,-1.96296,9.19506,-0.760002,5.94589,-1.61275,-0.897175,-0.815433,2.05552,8.74155,-30.7309,17.3932,-79.8802
-0.400407,0.928384,0.0310342,3,7,0,2.55978,-1.95055,9.17859,-0.73919,5.97487,0.211985,-0.00642147,0.245472,2.05268,12.1198,-33.7999,27.3977,-72.1077
-4.33352,0.331464,0.042678,1,1,0,5.67899,-1.9894,9.12508,-0.737175,5.9593,-0.734614,0.21776,-0.383261,1.39891,-8.23513,-68.9611,20.1735,-82.6587
-4.5956,0.985327,0.0157223,4,15,0,6.10078,-1.9642,9.12171,-0.736515,5.95715,-1.63358,-0.305764,0.114908,-0.484835,-3.88707,-66.1097,19.9587,-79.0607
45.1308,0.810328,0.0244865,3,13,1,6.0375,-2.1747,9.37795,-0.968846,6.43083,5.94577,0.0111765,2.89516,-7.65522,110.72,69.3215,28.8383,-45.1347
50.4719,0.799501,0.0259276,2,3,0,-41.1829,-2.21733,9.28282,-0.981995,6.41094,2.45876,3.42139,0.896644,-0.150452,62.8089,-19.0962,30.0451,-70.7897
185.727,0.857408,0.0267963,3,7,0,-49.5792,-2.9041,9.45347,-1.49769,7.23362,9.8985,0.230201,8.68002,-9.94584,97.3848,17.8379,113.554,18.5813
190.031,0.692202,0.0313488,2,3,0,-184.2,-2.98737,9.44364,-1.50777,7.21165,-2.5655,0.428496,-2.17003,0.433941,-5.78228,-47.3437,117.945,-72.4045
205.504,0.440911,0.0257124,2,3,0,-187.841,-2.99712,9.47542,-1.61349,7.25054,-0.0193422,-1.81335,4.91073,-2.81472,40.0764,2.41928,115.275,-36.8075
221.573,0.970415,0.0123858,3,7,0,-204.859,-3.03794,9.47238,-1.73548,7.28045,-1.12582,1.0105,-5.15194,2.14382,25.3721,-39.9175,105.549,-48.1965
223.211,1,0.0184224,2,3,0,-220.694,-3.05584,9.47374,-1.73799,7.30099,-1.21145,0.471573,-1.1318,1.43608,26.0406,-43.1664,108.098,-34.814
244.022,0.168213,0.0290296,2,4,1,-219.911,-3.14709,9.54932,-1.91319,7.39991,3.06965,-0.55173,6.03538,-1.438,123.916,120.145,100.502,86.6971
261.862,0.990708,0.00799014,3,15,0,-241.277,-3.2075,9.52189,-2.10859,7.36821,0.0124456,-0.215212,6.09876,-1.98202,-129.777,-139.489,68.3843,-177.242
282.105,0.610111,0.0123406,3,15,0,-262.811,-3.21328,9.54757,-2.37361,7.40802,-0.285637,2.69446,-5.15471,2.16247,20.9579,-38.1927,27.0851,-22.9574
281.168,0.985523,0.00862923,2,7,0,-279.475,-3.20051,9.54328,-2.36574,7.39911,1.35717,-0.331513,0.795523,-0.895366,28.3497,-38.5505,27.0727,-31.7702
280.61,0.930824,0.0131165,3,15,0,-277.866,-3.26324,9.56864,-2.31006,7.43321,1.73121,-0.0845242,-0.55315,-1.47622,-30.8217,-11.4201,47.6634,-34.9199
279.943,0.369655,0.0177444,3,7,0,-277.971,-3.19521,9.53945,-2.33588,7.40062,0.637463,-0.155113,1.76979,0.617051,44.2566,-40.1865,33.6433,-4.95254
278.318,0.908425,0.00762566,3,7,0,-277.56,-3.18983,9.52943,-2.3191,7.3924,0.43329,1.03763,0.362357,0.344859,2.56887,-102.051,34.3986,-46.2638
279.705,0.990104,0.00985193,3,7,0,-277.165,-3.19621,9.54688,-2.33173,7.39096,1.67985,0.541643,1.14051,-0.81464,24.6027,-4.13111,35.4639,-55.5789
279.651,0.26208,0.014967,3,11,0,-275.452,-3.21049,9.54863,-2.3871,7.38087,-1.15182,-1.25346,-2.1629,0.90621,-84.6818,-68.9178,17.8998,-193.186
278.984,0.999637,0.005251,4,15,0,-277.443,-3.17027,9.5475,-2.41753,7.39371,0.279695,-0.789921,-1.31435,0.807987,182.757,92.8465,6.72259,78.3115
281.627,0.990133,0.00811977,3,7,0,-277.754,-3.22226,9.54007,-2.43728,7.40152,-1.57939,1.36634,-0.877041,1.61693,-89.96,-166.89,4.81526,-134.631
279.836,0.78962,0.0122666,4,15,0,-277.107,-3.24334,9.56093,-2.34134,7.40164,1.84941,-0.220365,-1.30116,0.544491,-100.105,-50.7054,34.7519,-165.712
280.045,0.763377,0.0124125,3,7,0,-277.51,-3.21051,9.5684,-2.34511,7.40854,1.51204,-0.136364,-0.556864,1.56652,106.79,128.99,35.0606,26.3124
283.459,0.936839,0.0119247,4,15,0,-278.286,-3.24119,9.56871,-2.41326,7.41195,-1.25176,2.0064,-1.76474,1.28029,-21.9297,20.8427,20.2637,-91.9918
