rank,j,y_rep_mean,y_rep,.lower,.upper,.width,.point,.interval,cell_type,well,agg_count
17,1,3469.5247183621673,3366.3704238187297,2528.4449474959606,4697.337034163064,0.95,mhd,mhd,LCC1,2,2916
17,2,5950.599153132127,5800.2717644356,4279.895538337278,8835.106672727034,0.95,mhd,mhd,LCC9,1,6104
17,2,5950.599153132127,5800.2717644356,4279.895538337278,8835.106672727034,0.95,mhd,mhd,LCC9,2,6632
18,1,3542.8849124695416,3475.0007079464085,2422.8986624803924,5022.665062988131,0.95,mhd,mhd,LCC1,1,NA
18,1,3542.8849124695416,3475.0007079464085,2422.8986624803924,5022.665062988131,0.95,mhd,mhd,LCC1,2,NA
18,2,6090.690135877736,6254.984368672669,4457.950602486588,8184.837233720672,0.95,mhd,mhd,LCC9,1,NA
18,2,6090.690135877736,6254.984368672669,4457.950602486588,8184.837233720672,0.95,mhd,mhd,LCC9,2,NA
19,1,3624.5771310216464,3795.830808455695,2650.8776394223096,5154.136510002046,0.95,mhd,mhd,LCC1,1,NA
19,1,3624.5771310216464,3795.830808455695,2650.8776394223096,5154.136510002046,0.95,mhd,mhd,LCC1,2,NA
19,2,6229.8573763200375,6233.072866171846,4519.398312682513,8550.337518609567,0.95,mhd,mhd,LCC9,1,NA
19,2,6229.8573763200375,6233.072866171846,4519.398312682513,8550.337518609567,0.95,mhd,mhd,LCC9,2,NA
20,1,3705.9835238503883,3968.0174865442004,2589.7946927990342,5176.073278804527,0.95,mhd,mhd,LCC1,1,NA
20,1,3705.9835238503883,3968.0174865442004,2589.7946927990342,5176.073278804527,0.95,mhd,mhd,LCC1,2,NA
20,2,6370.570022382466,6717.458823003926,4356.759907496878,8870.590133120058,0.95,mhd,mhd,LCC9,1,NA
20,2,6370.570022382466,6717.458823003926,4356.759907496878,8870.590133120058,0.95,mhd,mhd,LCC9,2,NA
21,1,3780.8680894036643,4071.998452635392,2675.735661320278,5179.248594648628,0.95,mhd,mhd,LCC1,1,NA
21,1,3780.8680894036643,4071.998452635392,2675.735661320278,5179.248594648628,0.95,mhd,mhd,LCC1,2,NA
21,2,6525.113376015047,6995.1546243024395,4591.163512805076,9347.429115749093,0.95,mhd,mhd,LCC9,1,NA
21,2,6525.113376015047,6995.1546243024395,4591.163512805076,9347.429115749093,0.95,mhd,mhd,LCC9,2,NA
22,1,3863.1731178596015,3882.719879522219,2757.1093793565647,5425.338066137688,0.95,mhd,mhd,LCC1,1,NA
22,1,3863.1731178596015,3882.719879522219,2757.1093793565647,5425.338066137688,0.95,mhd,mhd,LCC1,2,NA
22,2,6663.342218798182,7186.119505052608,4632.168353446754,9885.406582654587,0.95,mhd,mhd,LCC9,1,NA
22,2,6663.342218798182,7186.119505052608,4632.168353446754,9885.406582654587,0.95,mhd,mhd,LCC9,2,NA
23,1,3942.9800553334735,3626.239052875581,2800.152192982561,5548.187721512188,0.95,mhd,mhd,LCC1,1,NA
23,1,3942.9800553334735,3626.239052875581,2800.152192982561,5548.187721512188,0.95,mhd,mhd,LCC1,2,NA
23,2,6802.376990485213,7132.419380122766,4853.3015510539735,9533.76929952411,0.95,mhd,mhd,LCC9,1,NA
23,2,6802.376990485213,7132.419380122766,4853.3015510539735,9533.76929952411,0.95,mhd,mhd,LCC9,2,NA
24,1,4030.1609715147165,4060.436595669652,2890.5840492641764,5512.683227915313,0.95,mhd,mhd,LCC1,1,NA
24,1,4030.1609715147165,4060.436595669652,2890.5840492641764,5512.683227915313,0.95,mhd,mhd,LCC1,2,NA
24,2,6951.287614244305,6898.649244075947,4957.464455994461,9572.688254894061,0.95,mhd,mhd,LCC9,1,NA
24,2,6951.287614244305,6898.649244075947,4957.464455994461,9572.688254894061,0.95,mhd,mhd,LCC9,2,NA
25,1,4111.174456756741,3921.0991452462704,2912.7822408067323,5651.103455590853,0.95,mhd,mhd,LCC1,1,NA
25,1,4111.174456756741,3921.0991452462704,2912.7822408067323,5651.103455590853,0.95,mhd,mhd,LCC1,2,NA
25,2,7090.444692268554,6879.911990675642,5184.454007119942,10136.266989380698,0.95,mhd,mhd,LCC9,1,NA
25,2,7090.444692268554,6879.911990675642,5184.454007119942,10136.266989380698,0.95,mhd,mhd,LCC9,2,NA
26,1,4193.772733982996,4348.798551669948,3044.6293319356328,5813.91132942389,0.95,mhd,mhd,LCC1,1,NA
26,1,4193.772733982996,4348.798551669948,3044.6293319356328,5813.91132942389,0.95,mhd,mhd,LCC1,2,NA
26,2,7245.95676504325,6823.722197809912,5273.859495134994,10068.157994083651,0.95,mhd,mhd,LCC9,1,NA
26,2,7245.95676504325,6823.722197809912,5273.859495134994,10068.157994083651,0.95,mhd,mhd,LCC9,2,NA
27,1,4278.704233270182,4091.4039649091314,2991.9948300244487,5971.553524529693,0.95,mhd,mhd,LCC1,1,NA
27,1,4278.704233270182,4091.4039649091314,2991.9948300244487,5971.553524529693,0.95,mhd,mhd,LCC1,2,NA
27,2,7390.1112808131675,7290.525885868147,5266.644430447027,9896.30188392557,0.95,mhd,mhd,LCC9,1,NA
27,2,7390.1112808131675,7290.525885868147,5266.644430447027,9896.30188392557,0.95,mhd,mhd,LCC9,2,NA
28,1,4368.378907710049,4672.382205040706,3153.894212627484,6021.453518503802,0.95,mhd,mhd,LCC1,1,NA
28,1,4368.378907710049,4672.382205040706,3153.894212627484,6021.453518503802,0.95,mhd,mhd,LCC1,2,NA
28,2,7543.826512324326,6906.453282813154,5345.645155930584,10086.114003720399,0.95,mhd,mhd,LCC9,1,NA
28,2,7543.826512324326,6906.453282813154,5345.645155930584,10086.114003720399,0.95,mhd,mhd,LCC9,2,NA
29,1,4454.848861263976,4641.103724473831,3168.021178944507,6385.186326027259,0.95,mhd,mhd,LCC1,1,NA
29,1,4454.848861263976,4641.103724473831,3168.021178944507,6385.186326027259,0.95,mhd,mhd,LCC1,2,NA
29,2,7690.1914004018045,7311.082378256089,5512.256866952965,10566.647819387299,0.95,mhd,mhd,LCC9,1,NA
29,2,7690.1914004018045,7311.082378256089,5512.256866952965,10566.647819387299,0.95,mhd,mhd,LCC9,2,NA
30,1,4543.030758662801,4651.897677067597,3186.154726003685,6294.806372367969,0.95,mhd,mhd,LCC1,1,NA
30,1,4543.030758662801,4651.897677067597,3186.154726003685,6294.806372367969,0.95,mhd,mhd,LCC1,2,NA
30,2,7830.955593390141,7987.161891799469,5603.42962671903,10648.404842515572,0.95,mhd,mhd,LCC9,1,NA
30,2,7830.955593390141,7987.161891799469,5603.42962671903,10648.404842515572,0.95,mhd,mhd,LCC9,2,NA
31,1,4634.653109876664,5507.143414107112,3353.159969495411,6329.055260544256,0.95,mhd,mhd,LCC1,1,NA
31,1,4634.653109876664,5507.143414107112,3353.159969495411,6329.055260544256,0.95,mhd,mhd,LCC1,2,NA
31,2,7982.988354144387,7835.123696412237,5763.837377758876,10899.759916770525,0.95,mhd,mhd,LCC9,1,NA
31,2,7982.988354144387,7835.123696412237,5763.837377758876,10899.759916770525,0.95,mhd,mhd,LCC9,2,NA
32,1,4721.984523163722,4767.87434308633,3354.177059052831,6536.643239779383,0.95,mhd,mhd,LCC1,1,NA
32,1,4721.984523163722,4767.87434308633,3354.177059052831,6536.643239779383,0.95,mhd,mhd,LCC1,2,NA
