rank,y_rep_mean,j,y_rep,.lower,.upper,.width,.point,.interval,agg_count,well
80,11812.560600397781,1,11710.534590606023,9940.460015409011,14067.865276836344,0.95,mhd,mhd,NA,2
81,11903.96365951764,1,11688.088652238353,9968.773152003423,13845.694178220076,0.95,mhd,mhd,NA,1
81,11903.96365951764,1,11688.088652238353,9968.773152003423,13845.694178220076,0.95,mhd,mhd,NA,2
82,11999.218044060683,1,12063.361332252576,10198.963891290721,14135.61735686742,0.95,mhd,mhd,NA,1
82,11999.218044060683,1,12063.361332252576,10198.963891290721,14135.61735686742,0.95,mhd,mhd,NA,2
83,12086.376662744351,1,12215.115711859515,10232.628634206396,14211.861223756785,0.95,mhd,mhd,NA,1
83,12086.376662744351,1,12215.115711859515,10232.628634206396,14211.861223756785,0.95,mhd,mhd,NA,2
84,12170.38393920718,1,12273.982480717521,10313.709556634556,14519.785311062678,0.95,mhd,mhd,NA,1
84,12170.38393920718,1,12273.982480717521,10313.709556634556,14519.785311062678,0.95,mhd,mhd,NA,2
85,12259.571532229558,1,12539.803381066376,10191.306840316285,14391.237670775048,0.95,mhd,mhd,NA,1
85,12259.571532229558,1,12539.803381066376,10191.306840316285,14391.237670775048,0.95,mhd,mhd,NA,2
86,12342.27107751955,1,12485.513653544022,10279.694342241975,14608.94552071755,0.95,mhd,mhd,NA,1
86,12342.27107751955,1,12485.513653544022,10279.694342241975,14608.94552071755,0.95,mhd,mhd,NA,2
87,12410.466596679582,1,12331.25164306019,9994.98312627313,14447.794212332405,0.95,mhd,mhd,NA,1
87,12410.466596679582,1,12331.25164306019,9994.98312627313,14447.794212332405,0.95,mhd,mhd,NA,2
88,12496.377159201493,1,12686.977507956024,10730.519216670587,14984.515526440706,0.95,mhd,mhd,NA,1
88,12496.377159201493,1,12686.977507956024,10730.519216670587,14984.515526440706,0.95,mhd,mhd,NA,2
89,12570.892398094575,1,12493.093861166444,10599.071983610946,14709.875958593406,0.95,mhd,mhd,NA,1
89,12570.892398094575,1,12493.093861166444,10599.071983610946,14709.875958593406,0.95,mhd,mhd,NA,2
90,12641.674411128653,1,12888.159873380306,10648.78224372137,14752.166040169628,0.95,mhd,mhd,NA,1
90,12641.674411128653,1,12888.159873380306,10648.78224372137,14752.166040169628,0.95,mhd,mhd,NA,2
91,12705.616442151655,1,12766.81469437526,10843.803106859565,14839.435902121773,0.95,mhd,mhd,NA,1
91,12705.616442151655,1,12766.81469437526,10843.803106859565,14839.435902121773,0.95,mhd,mhd,NA,2
92,12769.607351761044,1,13069.5036850198,10847.858292293824,15277.602395289794,0.95,mhd,mhd,NA,1
92,12769.607351761044,1,13069.5036850198,10847.858292293824,15277.602395289794,0.95,mhd,mhd,NA,2
93,12844.916918884457,1,13280.104379298376,10778.278914564913,14996.540558977105,0.95,mhd,mhd,NA,1
93,12844.916918884457,1,13280.104379298376,10778.278914564913,14996.540558977105,0.95,mhd,mhd,NA,2
94,12902.54810602122,1,12714.793546695299,10776.764298826516,15155.661367537761,0.95,mhd,mhd,NA,1
94,12902.54810602122,1,12714.793546695299,10776.764298826516,15155.661367537761,0.95,mhd,mhd,NA,2
95,12959.139504525325,1,12918.058787471713,11028.79585366134,15307.112777355682,0.95,mhd,mhd,NA,1
95,12959.139504525325,1,12918.058787471713,11028.79585366134,15307.112777355682,0.95,mhd,mhd,NA,2
96,13016.36978302229,1,12872.516796695689,10948.821454738818,15703.063719457208,0.95,mhd,mhd,11749,1
96,13016.36978302229,1,12872.516796695689,10948.821454738818,15703.063719457208,0.95,mhd,mhd,12515,2
97,13078.698125919018,1,13010.645687293036,10979.274903446352,15184.606762154524,0.95,mhd,mhd,12306,1
97,13078.698125919018,1,13010.645687293036,10979.274903446352,15184.606762154524,0.95,mhd,mhd,12896,2
98,13141.408450440767,1,13075.764664362534,11098.619237310866,15885.492770158966,0.95,mhd,mhd,12082,1
98,13141.408450440767,1,13075.764664362534,11098.619237310866,15885.492770158966,0.95,mhd,mhd,13094,2
99,13182.214483096282,1,12915.025531708505,10770.684237072664,15607.208354686203,0.95,mhd,mhd,12414,1
99,13182.214483096282,1,12915.025531708505,10770.684237072664,15607.208354686203,0.95,mhd,mhd,13174,2
100,13234.092361958546,1,13471.78973182664,10815.28384469265,15615.14120404553,0.95,mhd,mhd,12360,1
100,13234.092361958546,1,13471.78973182664,10815.28384469265,15615.14120404553,0.95,mhd,mhd,13178,2
101,13287.091402973445,1,13585.411279925493,11116.722283508652,15798.7460400061,0.95,mhd,mhd,12471,1
101,13287.091402973445,1,13585.411279925493,11116.722283508652,15798.7460400061,0.95,mhd,mhd,13375,2
102,13341.200860591127,1,12704.51983795231,11250.43006992878,16012.928985424374,0.95,mhd,mhd,12510,1
102,13341.200860591127,1,12704.51983795231,11250.43006992878,16012.928985424374,0.95,mhd,mhd,13351,2
103,13391.614737465672,1,13840.97324153222,11461.342394143878,16062.741252817133,0.95,mhd,mhd,12603,1
103,13391.614737465672,1,13840.97324153222,11461.342394143878,16062.741252817133,0.95,mhd,mhd,13262,2
104,13422.586770633821,1,14485.10358052007,11507.072984714572,16106.974435533202,0.95,mhd,mhd,12685,1
104,13422.586770633821,1,14485.10358052007,11507.072984714572,16106.974435533202,0.95,mhd,mhd,13652,2
105,13459.044746344007,1,12389.953185411669,11458.26254957988,16299.95005446104,0.95,mhd,mhd,13009,1
105,13459.044746344007,1,12389.953185411669,11458.26254957988,16299.95005446104,0.95,mhd,mhd,13826,2
106,13509.194750409384,1,13166.232965417814,11319.549419755214,15861.541571193236,0.95,mhd,mhd,13311,1
