rank,j,y_rep_mean,y_rep,.lower,.upper,.width,.point,.interval,cell_type,well,agg_count
15,2,5414.533739634103,5491.151901883509,2996.3356985928,8960.170318181432,0.95,mhd,mhd,LCC9,1,6636
15,2,5414.533739634103,5491.151901883509,2996.3356985928,8960.170318181432,0.95,mhd,mhd,LCC9,2,4734
16,1,2175.5750265833917,2287.2275971290173,1301.12187344196,3521.8970972010097,0.95,mhd,mhd,LCC1,1,1949
16,1,2175.5750265833917,2287.2275971290173,1301.12187344196,3521.8970972010097,0.95,mhd,mhd,LCC1,2,2399
16,2,5537.815065993064,5159.841020049113,3330.4058872346845,9398.653357862884,0.95,mhd,mhd,LCC9,1,6778
16,2,5537.815065993064,5159.841020049113,3330.4058872346845,9398.653357862884,0.95,mhd,mhd,LCC9,2,4845
17,1,2193.1778344741742,2466.8023275106066,1301.1851613842437,3811.476982596611,0.95,mhd,mhd,LCC1,1,2039
17,1,2193.1778344741742,2466.8023275106066,1301.1851613842437,3811.476982596611,0.95,mhd,mhd,LCC1,2,2417
17,2,5668.925275701123,5067.29599289139,3322.971553059265,9516.608904734361,0.95,mhd,mhd,LCC9,1,6888
17,2,5668.925275701123,5067.29599289139,3322.971553059265,9516.608904734361,0.95,mhd,mhd,LCC9,2,4990
18,1,2210.3277361715377,2672.7352835925117,1270.8773488705135,3812.7039919227573,0.95,mhd,mhd,LCC1,1,NA
18,1,2210.3277361715377,2672.7352835925117,1270.8773488705135,3812.7039919227573,0.95,mhd,mhd,LCC1,2,NA
18,2,5818.037999978373,5137.417786834634,3591.3429016275613,9712.89003024373,0.95,mhd,mhd,LCC9,1,NA
18,2,5818.037999978373,5137.417786834634,3591.3429016275613,9712.89003024373,0.95,mhd,mhd,LCC9,2,NA
19,1,2224.6855430207124,2478.1151936194674,1233.65126139596,3891.10516278724,0.95,mhd,mhd,LCC1,1,NA
19,1,2224.6855430207124,2478.1151936194674,1233.65126139596,3891.10516278724,0.95,mhd,mhd,LCC1,2,NA
19,2,5952.69885586465,5347.484831739053,3035.4334416062484,10320.507311633857,0.95,mhd,mhd,LCC9,1,NA
19,2,5952.69885586465,5347.484831739053,3035.4334416062484,10320.507311633857,0.95,mhd,mhd,LCC9,2,NA
20,1,2241.5056758154196,2364.6421972892354,1301.6268814765115,3721.692163320587,0.95,mhd,mhd,LCC1,1,NA
20,1,2241.5056758154196,2364.6421972892354,1301.6268814765115,3721.692163320587,0.95,mhd,mhd,LCC1,2,NA
20,2,6078.33278527614,6376.898553691484,3436.497230651438,10368.631002355094,0.95,mhd,mhd,LCC9,1,NA
20,2,6078.33278527614,6376.898553691484,3436.497230651438,10368.631002355094,0.95,mhd,mhd,LCC9,2,NA
21,1,2256.8835441470383,2259.866257562623,1243.3113859627465,3973.697141185925,0.95,mhd,mhd,LCC1,1,NA
21,1,2256.8835441470383,2259.866257562623,1243.3113859627465,3973.697141185925,0.95,mhd,mhd,LCC1,2,NA
21,2,6221.274050335207,6446.890547262761,3808.257545369244,10417.306094519203,0.95,mhd,mhd,LCC9,1,NA
21,2,6221.274050335207,6446.890547262761,3808.257545369244,10417.306094519203,0.95,mhd,mhd,LCC9,2,NA
22,1,2279.958840559878,2585.9703620772516,1272.7484187664434,3791.71579238323,0.95,mhd,mhd,LCC1,1,NA
22,1,2279.958840559878,2585.9703620772516,1272.7484187664434,3791.71579238323,0.95,mhd,mhd,LCC1,2,NA
22,2,6350.80004759788,5657.288508590746,3676.236527892819,11606.267754936662,0.95,mhd,mhd,LCC9,1,NA
22,2,6350.80004759788,5657.288508590746,3676.236527892819,11606.267754936662,0.95,mhd,mhd,LCC9,2,NA
23,1,2294.174618211231,2359.1860432951235,1362.808380625448,4032.5359317971665,0.95,mhd,mhd,LCC1,1,NA
23,1,2294.174618211231,2359.1860432951235,1362.808380625448,4032.5359317971665,0.95,mhd,mhd,LCC1,2,NA
23,2,6502.63387159558,6537.758762859284,3652.291130942064,10921.594594119422,0.95,mhd,mhd,LCC9,1,NA
23,2,6502.63387159558,6537.758762859284,3652.291130942064,10921.594594119422,0.95,mhd,mhd,LCC9,2,NA
24,1,2307.346090146139,2427.3873087551824,1381.780810836365,3916.679077482077,0.95,mhd,mhd,LCC1,1,NA
24,1,2307.346090146139,2427.3873087551824,1381.780810836365,3916.679077482077,0.95,mhd,mhd,LCC1,2,NA
24,2,6629.51493366381,6650.02955152201,4060.705406101511,10902.72245654001,0.95,mhd,mhd,LCC9,1,NA
24,2,6629.51493366381,6650.02955152201,4060.705406101511,10902.72245654001,0.95,mhd,mhd,LCC9,2,NA
25,1,2325.7417593724917,2197.1529409074387,1428.5819128040603,3718.4630726359246,0.95,mhd,mhd,LCC1,1,NA
25,1,2325.7417593724917,2197.1529409074387,1428.5819128040603,3718.4630726359246,0.95,mhd,mhd,LCC1,2,NA
25,2,6787.175301570168,6468.278444948862,3962.0928249977787,11579.861723614147,0.95,mhd,mhd,LCC9,1,NA
25,2,6787.175301570168,6468.278444948862,3962.0928249977787,11579.861723614147,0.95,mhd,mhd,LCC9,2,NA
