par,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"y_rep[76,1]",6203.627345688591,4.698916052690336,663.6887367181351,4998.492556242581,5745.54677099437,6170.225611611177,6632.6004741523475,7595.676771017844,19949.569219404464,1.0001261361306015
"y_rep[77,1]",6305.318907329123,4.786325853759326,670.3695353689047,5095.898328287989,5844.860524033928,6270.2183500903675,6722.646112899047,7722.966248827665,19616.612591727073,0.9998956587090809
"y_rep[78,1]",6409.065199381843,4.929774187680235,681.2777136489962,5174.182682433112,5937.787766122687,6375.436425810636,6848.767705500965,7825.030492729418,19098.28243060892,1.00010286010834
"y_rep[79,1]",6514.854164845955,4.919676733347805,686.7981766443925,5266.474526416235,6039.512467996434,6485.373790822827,6948.885706233381,7965.010146337925,19488.801564424488,1.0002176282230089
"y_rep[80,1]",6606.948803065971,5.02206786660302,705.0776042980145,5342.400512028142,6116.519598102744,6565.6438949056555,7060.4684361497275,8088.396950627224,19711.00126172205,1.00003691393232
"y_rep[81,1]",6708.249648420652,4.990388743014477,708.2019364981518,5436.6656925089965,6216.917114357738,6670.596065578746,7156.902538706883,8208.311070883712,20139.35068846817,0.9998756039210468
"y_rep[82,1]",6805.183687891364,5.17900696680979,724.8318749656163,5504.8381279879495,6304.176204534292,6762.051475999316,7267.925038519903,8341.609996045003,19587.615777616,1.000049898632826
"y_rep[83,1]",6903.553068425467,5.185679023727345,729.1739001371913,5580.080821976541,6395.379100703052,6861.760196131225,7369.015334454638,8435.537596422648,19772.016613588068,0.9998671471512284
"y_rep[84,1]",7011.897265211114,5.33658513295168,750.2051124353573,5656.539070088629,6494.905992994106,6965.836754439008,7482.920614597378,8615.25686621508,19762.10283417876,0.9999723553581573
"y_rep[85,1]",7123.408246623137,5.487335643902616,759.5429199691325,5742.8937038412805,6595.531669245022,7080.690061678724,7606.588932150502,8717.912267015117,19159.38606760347,0.9999385105785263
"y_rep[86,1]",7215.641838223191,5.492394049646214,769.0296741174238,5826.624723737893,6676.933607343377,7176.708160415564,7708.408037189974,8850.985087852509,19604.818232756938,1.0001077598375179
"y_rep[87,1]",7309.378368934999,5.439669757340984,772.7457542088536,5924.2890178321095,6772.557677084925,7265.122363965635,7803.544953975257,8956.926234816823,20180.326393865926,0.9999778934861135
"y_rep[88,1]",7412.3205089273815,5.653793670518119,788.7886196716803,5980.252044179807,6859.7043704012085,7368.696910641142,7915.225463380815,9068.101208464941,19464.41527315553,1.0000239414499261
"y_rep[89,1]",7511.558483252038,5.5902115970235435,793.3914203869499,6088.977465929434,6962.125876332066,7467.463399810238,8018.486367212969,9183.494257375729,20142.738095380235,1.0002122222750325
"y_rep[90,1]",7621.030640631852,5.785580328013593,808.4024701842953,6177.8666323908465,7053.305677648952,7574.92831176779,8135.781423445955,9337.139422319326,19523.667745779352,1.000010940812756
"y_rep[91,1]",7711.423066426745,5.825054589659997,818.0164194818013,6226.9781246855055,7142.9480389802175,7667.710850163323,8234.61026168616,9442.547237607594,19720.77793052764,1.0001360180425047
"y_rep[92,1]",7808.03941071162,5.8526988405258,828.3124467281497,6310.848261740386,7229.0682981538,7771.318935563462,8337.936014817577,9547.398444230592,20029.772655877525,1.00013317838601
"y_rep[93,1]",7907.660655694968,5.948196497199102,844.6659253784618,6393.318287530758,7312.782226719364,7865.5925009888415,8440.502185005393,9709.5968470854,20165.051503590796,0.9999593967158301
"y_rep[94,1]",8006.508046665447,6.067450603219987,846.1685021591118,6467.511550788568,7412.872434354329,7963.391157274715,8557.529508854896,9778.489927923381,19449.176232213773,1.000056908717786
"y_rep[95,1]",8098.561507907275,5.975834571115333,857.7420581917238,6527.559228147817,7499.419947064784,8053.733403660748,8655.391413370568,9894.161094515362,20602.327115035077,0.9999269577135835
"y_rep[96,1]",8208.49970970579,6.11776719737541,864.3853794465226,6653.497293689046,7608.725303661986,8163.221344292649,8763.311386544689,10050.080027810354,19963.143649162957,1.0000451662414036
"y_rep[97,1]",8283.307750293701,6.325585327118139,875.2259835220923,6703.33855860577,7671.723586714526,8241.282380888206,8855.07931380785,10096.416416801136,19144.27693650495,0.9998636061940772
