par,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"y_rep[41,1]",6397.435378935693,1.961071003350504,272.04888699073615,5887.9185379957,6210.678415734059,6390.525705042801,6575.508795246566,6952.166365160242,19244.528294905504,1.0000190750177762
"y_rep[42,1]",6559.52084571842,1.9685583274713747,277.1909877399838,6030.7277770314695,6372.448115830044,6555.7672149394175,6741.137008449828,7114.318386573394,19827.211419601546,0.9998721282205211
"y_rep[43,1]",6721.123065129009,2.0775285846174025,283.68980627175347,6177.543163312177,6528.545659208653,6714.33774278569,6908.395057817822,7289.308788483913,18646.333415134744,1.0001526034414352
"y_rep[44,1]",6875.3689445716,2.0525515452797403,289.2508250160499,6322.85875279426,6677.054097611389,6870.507829930755,7067.585518945878,7464.540377697468,19859.16884015658,1.0000349778696322
"y_rep[45,1]",7031.255656078966,2.1793325027981805,296.15175179798484,6469.222999491861,6828.087072617533,7023.030895497003,7228.341938058762,7625.827644649783,18466.373690627224,0.9999981057079617
"y_rep[46,1]",7195.248660174821,2.158178491003359,304.33898365702544,6619.994553737576,6985.237923348127,7190.293570933258,7394.506861581676,7811.682329225681,19885.68025533821,1.0000289205205972
"y_rep[47,1]",7355.393727968111,2.229195256512808,313.7674092944141,6755.93623831386,7142.903778531605,7346.271782713042,7559.191794373091,7995.756165884526,19811.59508728178,0.9999673902678033
"y_rep[48,1]",7514.655033806739,2.2787357617191337,317.7278178327216,6907.55350111653,7301.009732641733,7508.7810408403675,7721.1574102531495,8159.342231888716,19441.176536420477,0.9998761408027816
"y_rep[49,1]",7673.743902408659,2.3273255006705074,323.76473830210443,7061.222722297971,7451.923266938502,7667.901739751496,7889.0763989701145,8331.17802432225,19352.84589619897,1.000085809654405
"y_rep[50,1]",7826.871433031154,2.4014868717421227,329.66868511899736,7199.793945823598,7601.204634803888,7820.459518362928,8043.993095993066,8493.258612162055,18844.948642732783,1.0000502393709712
"y_rep[51,1]",7990.786871323707,2.459656552582382,337.0381029777757,7353.630999621262,7760.351684536124,7984.544191824036,8214.496141501599,8671.180144414731,18776.25884717129,1.000016637764041
"y_rep[52,1]",8152.734720653716,2.49539762190954,345.76151280920965,7492.41074925334,7914.91265369712,8147.757705182488,8380.191446634744,8850.581333438786,19198.78679233907,0.9999940558596895
"y_rep[53,1]",8305.34997736535,2.4628497061676233,350.21981673375683,7633.729099653022,8065.257473534441,8299.768466657211,8534.744469232533,9014.69853410866,20221.138912627164,1.0001009763430666
"y_rep[54,1]",8461.962203549178,2.5170823606121298,354.67578493166144,7782.6189683136645,8217.532905448665,8456.658047387778,8696.956815668133,9177.255871548648,19854.923802979276,0.9999273286057915
"y_rep[55,1]",8616.875947850396,2.5910189433897295,365.80522911507865,7916.019052355902,8370.794429668815,8609.400853525567,8858.798124411245,9354.534041873654,19932.356322949756,0.999928676503469
"y_rep[56,1]",8766.33757639746,2.667758729772722,367.5452395843845,8073.37661246404,8514.428332019776,8756.294305546966,9005.939330577805,9515.302995841577,18981.411521440074,1.0000231334441059
"y_rep[57,1]",8925.704475865947,2.661081588098828,375.40301452284183,8212.000700259989,8668.55479994474,8915.5731374098,9173.59424575707,9691.940257925253,19901.19390484679,1.000282304195381
"y_rep[58,1]",9071.49094422339,2.7248572850918396,382.4116555700009,8333.544054735541,8809.794775235467,9067.61923885487,9327.600551223008,9836.305837517164,19695.849611661113,0.9999228380634086
"y_rep[59,1]",9220.26301825081,2.7114976619272437,388.33893709824116,8485.47344402892,8955.43494181423,9212.663728540607,9477.508439095216,10002.998178623338,20511.78268245429,0.9999632498052891
"y_rep[60,1]",9364.6589883424,2.9306281087374813,395.1553858428988,8616.308506981224,9094.5898840607515,9357.644839526936,9625.7365374615,10165.223696840454,18180.858622564567,0.9999292969584905
"y_rep[61,1]",9512.231239597339,2.811164556901685,398.7271641863549,8753.873992677421,9242.484551928686,9505.232483345877,9772.113480886452,10328.309452079582,20117.736277310865,0.9998824513362956
"y_rep[62,1]",9649.673224596083,2.9300581218676074,408.0685888099507,8878.947173408278,9366.148765041395,9640.269337792663,9920.274201577082,10472.879827675051,19396.075308757416,0.9999625287525773
"y_rep[63,1]",9795.43325375964,2.9715448311869044,410.21966445075657,9013.618608668614,9517.980903054973,9785.420133156853,10067.719798487764,10617.6406109372,19057.60742672754,0.9998770315942677
"y_rep[64,1]",9930.086417558969,3.0408675892145522,417.3591941966039,9128.420626988398,9649.529023278716,9922.301985517981,10207.001632446218,10777.224507681061,18837.57311370298,0.9999034629650978
"y_rep[65,1]",10071.049995187681,3.0401749143613492,425.3306963620938,9264.55105597602,9784.089674899167,10058.072559878721,10347.708956022176,10939.162757707954,19572.951138365675,1.0000993920523669
"y_rep[66,1]",10208.711166475672,3.0309051229851436,430.35313444300067,9401.566514661094,9914.996062576034,10196.78242338047,10489.233192456795,11089.540943841337,20160.68376137583,0.9999097360756517
"y_rep[67,1]",10334.737153048562,3.082869111140293,427.12590685587486,9519.768408990429,10045.173551455067,10328.990885042658,10618.623234936034,11201.95073510304,19195.59839066427,0.9999470437398751
"y_rep[68,1]",10468.905935922909,3.175996620636904,443.98503542921503,9619.572538922279,10168.301676001796,10457.620597802419,10760.230998329806,11367.275628673238,19542.341646810928,0.9998862009714584
"y_rep[69,1]",10592.272249781272,3.1691183929551987,448.86075057694677,9742.319106398467,10280.376453050947,10581.261579262704,10884.901968507402,11512.909324441138,20060.711613288753,0.9999098106011766
"y_rep[70,1]",10712.903146406052,3.1560949531654363,449.23710508699895,9856.410815469842,10408.816297225596,10698.599759222483,11007.849348931386,11625.625797552755,20260.544760802575,0.9999185592063041
"y_rep[71,1]",10835.595679069505,3.262083854267419,454.0875152327979,9968.675445811292,10524.828287636177,10827.918749162976,11132.470401614493,11746.137431018173,19377.104507368666,1.0000115993619143
"y_rep[72,1]",10957.022215937506,3.3596878603208635,462.7914469512659,10072.157278928991,10638.46253648877,10947.694889179886,11265.171659078173,11893.264092073594,18974.60691723109,0.9998952824381134
"y_rep[73,1]",11068.332410529047,3.2442015327422196,461.6897581237511,10194.3745253221,10757.336912417612,11054.650277552435,11373.538230456512,11995.357179910146,20252.78865514053,1.0000605344509412
"y_rep[74,1]",11190.199379848144,3.4225258862772425,473.4435341960479,10295.88849515852,10863.59467845425,11180.495851084484,11499.839228761912,12154.914032129545,19135.63578675831,0.9999014746327711
"y_rep[75,1]",11292.120569994095,3.29882806695463,471.1182634071592,10396.76088543364,10972.754481898783,11281.027399311624,11604.615400970726,12237.613425401532,20395.789403207462,0.9998639329723946
"y_rep[76,1]",11403.672278342192,3.434042172245027,476.7108202656952,10500.57415312279,11079.113158775714,11393.655930311925,11719.184253739259,12370.97254805218,19270.756798878705,1.000053553201038
"y_rep[77,1]",11512.25465956515,3.4184700292626444,482.2365529611646,10587.688354928943,11183.762954667132,11500.899187223034,11829.609249082776,12489.966615910113,19900.166005222116,0.9998980814671332
"y_rep[78,1]",11604.110802324543,3.411323040026082,488.3244170472581,10673.331407595724,11273.129982354407,11594.507717364926,11925.459474017598,12581.824077570789,20491.37898523709,0.9999579262051465
