i,.draw,1,2
3,66,2305.833433593374,4307.921427774666
3,67,2470.5722086612855,4851.902929863803
3,68,2640.691445499849,4025.7587643880684
3,69,2431.0870899686793,3881.6858329679403
3,70,2834.453522858348,4073.4430801978287
3,71,2709.4925043873427,4063.6681031720505
3,72,2890.3427793719425,3825.3583101018953
3,73,2717.118047147018,4065.8165421996714
3,74,2343.9425407761937,3667.0533035449594
3,75,2543.8016726350684,4185.12840091563
3,76,2206.148415583904,4216.176521583863
3,77,2541.9439933529075,4103.289473490238
3,78,2756.4595346055426,4130.546824486276
3,79,2651.5942485722444,4514.700252928786
3,80,2493.8140615133225,4112.6610874626385
3,81,2868.670857672256,4389.222461851364
3,82,2222.1581499257722,3890.0420612328994
3,83,2692.6282392260086,4305.415814972364
3,84,2729.79111668203,3892.99217769758
3,85,2753.637266877722,4177.288393316624
3,86,2561.1057327916437,4089.035393396925
3,87,2612.7726639908465,4101.089492711905
3,88,2438.9102182654556,4508.370501804333
3,89,2521.7563183007715,4143.608418648822
3,90,2714.968862627644,4191.33532449541
3,91,2423.1386562649172,3618.4664090408246
3,92,2431.126216557898,4417.554735857
3,93,2817.9109320905955,3690.907523249506
3,94,2328.622367490605,4012.719133680222
3,95,2398.5233460153236,4191.381563392514
3,96,2520.0973556532763,3733.8344126352995
3,97,2353.655640615577,4335.748630199156
3,98,2437.52773058914,4518.259908718011
3,99,2518.688815184162,3888.7837473356367
3,100,2775.9989762693867,4264.653906574262
3,101,2387.5887342995566,4116.274587231618
3,102,2564.0752786382377,3663.6691899843886
3,103,2634.372519654352,4237.997849498754
3,104,2466.3678431568087,3492.8893476448666
3,105,2807.0336164602227,3552.267054223788
3,106,2512.2668495344096,3822.9928285070623
3,107,2393.566921321424,3970.2165903344207
3,108,2460.6718093020645,4030.8303138811293
3,109,2450.826586502507,4189.976753492348
3,110,2864.993007772343,4656.3554553742915
3,111,2528.6054342477523,4511.936488829738
3,112,2435.0488829629508,3878.9062208421306
3,113,2301.504122777464,4256.919891035401
3,114,2846.884000859348,4026.1934639388655
3,115,2569.5213971908747,3762.326423672703
3,116,2464.95653658277,4668.144309963076
3,117,2218.197740555482,3990.0015272339774
3,118,2564.1849592646504,3882.3770658308795
3,119,2299.433590938464,4202.792290131644
3,120,2402.880293118868,3946.679227782877
3,121,2217.346809706678,4665.841816806252
3,122,2444.4635673642847,4287.647292203138
3,123,2343.77943512331,4252.29931301635
3,124,2395.0095723276486,4394.407201076218
3,125,2540.2041915684217,4229.196160427696
3,126,2505.002416988234,4137.276784088974
3,127,2515.5791785814,4371.95087468847
3,128,2340.990788825538,3873.144707989322
3,129,2513.7265573553886,4100.25258143265
3,130,2547.7825571611693,4548.286949961093
3,131,2742.9322799214906,4323.776650122338
3,132,2307.8636210670475,3704.3675440899447
3,133,2819.4305770215014,4032.9637320317674
3,134,2748.752065770109,4438.121263420691
3,135,2642.689078570292,4070.3485949608266
3,136,2539.273983542707,4565.188216486927
3,137,2524.1944421605335,3922.027118163762
3,138,2177.687955655928,4613.295545674828
3,139,3098.660427544714,4004.8700768309873
3,140,2540.09604568443,4055.8768729659214
3,141,2349.0633840254595,3860.7758708809142
3,142,2448.8686921838394,4225.568579035767
3,143,2735.3175426076095,4001.989312799971
3,144,2592.979936078184,4001.83507644899
3,145,2379.347475179369,3387.0523270937065
3,146,2189.811110062814,4515.881858197713
3,147,2779.7841338850435,4089.664809721499
3,148,2222.8150268036484,4618.813950055039
3,149,2500.264172003047,4080.308444669789
3,150,2878.4065757220374,4110.232183255156
4,1,2539.2445791442547,4096.482289128739
4,2,2610.564343635423,3824.1213020043597
4,3,2867.834885907782,5307.982189611949
4,4,3048.1304591114194,4100.778097085031
4,5,2584.069975555962,4224.134993251511
4,6,2544.145851206224,4440.458345246502
4,7,2357.449987903979,4315.923662182201
4,8,2335.7316780977694,4779.045065340456
4,9,2690.6251022251504,4048.587624803436
4,10,2713.5897281801763,4052.8611019955633
4,11,2707.294013292225,4121.016643275115
4,12,2492.4418606838954,3419.231623457254
4,13,2322.2789652213155,4642.58584921422
4,14,2483.141582050544,3558.4763902240197
4,15,2539.3175548404197,4336.12704334102
4,16,2668.0382829045716,5162.880020684621
4,17,2359.2400776365394,3700.9010450914807
4,18,2695.371752886672,4462.58540932597
4,19,2537.5326806700973,4474.7223905278
4,20,2717.3011246643764,4540.567723148448
4,21,2836.187535406396,4114.410553716159
4,22,2510.091924143594,4210.064801052863
4,23,2286.1837519249298,5034.556089812456
4,24,2808.876436646048,3948.8227136730957
4,25,2735.9396361374843,4526.839928578394
4,26,2729.599243744401,4372.1740392749725
4,27,2369.783853455299,4534.285929384948
4,28,2311.732089827416,4427.092506437178
4,29,2319.536938248467,4555.211853758533
4,30,2546.313552344195,4866.997076149892
4,31,2366.2952403099625,3977.082031333824
4,32,2402.9919706637697,4574.0179418031585
4,33,2267.7067527942013,4575.999615654961
4,34,2661.017532892945,4091.0289811336584
4,35,2479.543462847576,4180.1827640436995
4,36,2699.717902519447,4610.58138254567
4,37,2278.1911063319812,4610.511306038921
4,38,2532.5066689237115,4059.7415486966247
4,39,2423.3892904085865,4030.348485378295
4,40,2550.387695007807,4819.775781976364
4,41,2123.5340215293654,4694.256602717209
4,42,2739.329030218906,3998.921836766194
4,43,3045.852311130828,4060.605202852034
4,44,2948.577827697347,4530.257480678539
4,45,2914.4670249138408,4072.52052539726
4,46,2572.2258837085888,4201.398541727123
4,47,2551.1734109598356,4061.8778089831126
4,48,2752.0126978523344,3675.3765063439646
4,49,2930.47056284307,4108.448756257618
4,50,2421.174373454314,4117.262339864586
4,51,2520.18982730678,4242.590400799111
4,52,2681.805256851417,4481.549986032813
4,53,2648.5945420848234,4068.8541522346136
4,54,2697.204506242381,4023.6626356793972
4,55,2548.039744263288,4520.249114383817
4,56,2220.4000180119456,4535.599381341978
4,57,2383.219727566964,4383.766456513994
4,58,2886.1497880802344,4702.012932845687
4,59,2721.302125413691,4213.1251073794065
4,60,2406.674192028721,4161.929674067782
4,61,2622.9442994396472,4107.155851427473
4,62,2335.7829171403596,4192.760973327464
4,63,2829.408903914679,5235.890115852916
4,64,2448.2354278300554,4016.2707563904487
4,65,2830.253681222569,4291.076325656393
4,66,2641.63970887105,4532.907102400583
4,67,2546.1466756743657,4291.163666693682
4,68,3015.465500352037,4093.873115711006
4,69,2503.131597105394,3956.0970402839266
4,70,2716.9412008775466,3850.175989983907
4,71,2445.8334807497495,3734.3148856092325
4,72,2590.293741046305,3476.6016311044405
4,73,2737.4258550318177,5048.83177538062
4,74,2452.698141925417,3698.5907443302517
4,75,2503.7956823108843,4575.398627811736
4,76,2731.88916485913,3918.424810455489
4,77,2789.69519273866,4486.997472599827
4,78,2651.539234255525,3992.5564432616616
4,79,2732.932251578321,3773.27139407299
4,80,2772.419147736736,4124.9124980273355
4,81,2585.8760351970486,3984.189656853022
4,82,3083.459275563007,4013.799377415842
4,83,2327.7764386744257,4801.34390461678
4,84,2690.682529476392,4109.868725881306
4,85,2560.1617294136267,4136.773101839615
4,86,2465.8242950696263,4355.560578330038
4,87,2472.3865701188247,4773.329615225385
4,88,2938.108363549208,4126.498651618842
4,89,2760.8982377467814,4278.34619076966
4,90,2703.4057066477594,4081.6887116059424
